Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
Quais são as raízes da equação x² - 7x - 18 = 0?;x = -2 e x = 9;x = 1 e x = 2;x = -5 e x = 5;x = -5 e x = -3;A
Quais são as raízes da equação x² - 9x + 8 = 0?;x = 5 e x = 6;x = 1 e x = 8;x = -1 e x = 2;x = -6 e x = -1;B
Quais são as raízes da equação x² - 3x - 40 = 0?;x = -5 e x = 8;x = -3 e x = 4;x = 1 e x = 2;x = 5 e x = 7;A
Quais são as raízes da equação x² - 15x + 54 = 0?;x = -8 e x = 2;x = 6 e x = 9;x = 2 e x = 5;x = 1 e x = 4;B
Quais são as raízes da equação x² - 11x + 30 = 0?;x = -1 e x = 8;x = 0 e x = 5;x = -3 e x = -1;x = 5 e x = 6;D
Quais são as raízes da equação x² - 12x + 32 = 0?;x = 4 e x = 8;x = -6 e x = 5;x = -5 e x = 4;x = -4 e x = 3;A
Quais são as raízes da equação x² - 36 = 0?;x = 0 e x = 4;x = -5 e x = 4;x = -6 e x = 6;x = 7 e x = 9;C
Quais são as raízes da equação x² + 4x - 32 = 0?;x = -8 e x = 4;x = -3 e x = 0;x = -3 e x = 4;x = -1 e x = 8;A
Quais são as raízes da equação x² - 8x + 12 = 0?;x = 2 e x = 6;x = -6 e x = 6;x = 0 e x = 2;x = -7 e x = 3;A
Quais são as raízes da equação x² - 1x - 6 = 0?;x = -4 e x = 4;x = 2 e x = 3;x = -8 e x = -5;x = -2 e x = 3;D
Quais são as raízes da equação x² - 11x + 18 = 0?;x = -2 e x = -1;x = 6 e x = 7;x = 2 e x = 9;x = -3 e x = 9;C
Quais são as raízes da equação x² - 64 = 0?;x = -8 e x = 8;x = -5 e x = 5;x = -7 e x = -2;x = -4 e x = 6;A
Quais são as raízes da equação x² - 64 = 0?;x = -8 e x = 5;x = -8 e x = 8;x = -3 e x = 1;x = -1 e x = 2;B
Quais são as raízes da equação x² - 9x + 8 = 0?;x = 1 e x = 8;x = -4 e x = 2;x = -2 e x = 5;x = -2 e x = 6;A
Quais são as raízes da equação x² - 8x + 12 = 0?;x = -2 e x = 4;x = 2 e x = 6;x = -8 e x = -3;x = -8 e x = 8;B
Quais são as raízes da equação x² - 5x - 6 = 0?;x = -8 e x = 3;x = 3 e x = 7;x = -8 e x = -4;x = -1 e x = 6;D
Quais são as raízes da equação x² + 2x - 8 = 0?;x = 3 e x = 8;x = -4 e x = 2;x = -2 e x = 2;x = -5 e x = 7;B
Quais são as raízes da equação x² - 11x + 30 = 0?;x = -6 e x = 8;x = -3 e x = 4;x = -5 e x = 2;x = 5 e x = 6;D
Quais são as raízes da equação x² + 1x - 2 = 0?;x = -3 e x = 9;x = -8 e x = -4;x = -2 e x = 1;x = -2 e x = 9;C
Quais são as raízes da equação x² - 1x - 20 = 0?;x = -4 e x = -2;x = -4 e x = 5;x = -1 e x = 4;x = -8 e x = 6;B
Quais são as raízes da equação x² - 15x + 56 = 0?;x = 7 e x = 8;x = -8 e x = -5;x = 3 e x = 9;x = -2 e x = 7;A
Quais são as raízes da equação x² - 25 = 0?;x = -5 e x = 5;x = -3 e x = 8;x = 4 e x = 7;x = 0 e x = 6;A
Quais são as raízes da equação x² - 7x + 10 = 0?;x = -5 e x = 2;x = -7 e x = 3;x = 2 e x = 5;x = -1 e x = 8;C
Quais são as raízes da equação x² - 4x - 45 = 0?;x = -5 e x = 9;x = -4 e x = 9;x = -1 e x = 9;x = -2 e x = 7;A
Quais são as raízes da equação x² - 6x + 5 = 0?;x = 4 e x = 9;x = -7 e x = -4;x = 1 e x = 5;x = -8 e x = -5;C
Quais são as raízes da equação x² - 13x + 36 = 0?;x = 4 e x = 9;x = -6 e x = 4;x = -4 e x = 6;x = -1 e x = 1;A
Quais são as raízes da equação x² - 11x + 28 = 0?;x = -8 e x = 3;x = -3 e x = 9;x = -2 e x = 1;x = 4 e x = 7;D
Quais são as raízes da equação x² - 1x - 2 = 0?;x = -1 e x = 2;x = -2 e x = 9;x = -8 e x = -1;x = 1 e x = 9;A
Quais são as raízes da equação x² - 9x + 14 = 0?;x = -4 e x = 3;x = 0 e x = 1;x = 2 e x = 7;x = -6 e x = 2;C
Quais são as raízes da equação x² - 5x + 6 = 0?;x = -7 e x = 5;x = 2 e x = 3;x = -4 e x = 1;x = 2 e x = 4;B
Quais são as raízes da equação x² - 7x - 8 = 0?;x = -5 e x = 0;x = -1 e x = 8;x = 5 e x = 9;x = 0 e x = 4;B
Quais são as raízes da equação x² - 4x - 5 = 0?;x = -7 e x = 1;x = -1 e x = 5;x = -6 e x = -1;x = -8 e x = -4;B
Quais são as raízes da equação x² + 2x - 48 = 0?;x = -8 e x = 2;x = -4 e x = 0;x = -8 e x = -4;x = -8 e x = 6;D
Quais são as raízes da equação x² - 6x + 8 = 0?;x = -7 e x = 7;x = -3 e x = 0;x = 2 e x = 4;x = 0 e x = 6;C
Quais são as raízes da equação x² - 11x + 30 = 0?;x = -5 e x = 7;x = 5 e x = 6;x = 2 e x = 8;x = -7 e x = 8;B
Quais são as raízes da equação x² - 3x - 4 = 0?;x = 0 e x = 1;x = -8 e x = 0;x = -2 e x = 7;x = -1 e x = 4;D
Quais são as raízes da equação x² - 2x - 8 = 0?;x = -2 e x = -1;x = -2 e x = 4;x = 2 e x = 3;x = 6 e x = 8;B
Quais são as raízes da equação x² - 7x - 18 = 0?;x = -2 e x = 1;x = -2 e x = 9;x = -8 e x = 2;x = 3 e x = 7;B
Quais são as raízes da equação x² + 7x - 8 = 0?;x = 1 e x = 9;x = -4 e x = -1;x = -4 e x = 9;x = -8 e x = 1;D
Quais são as raízes da equação x² - 4x + 3 = 0?;x = -7 e x = 3;x = -1 e x = 9;x = 2 e x = 3;x = 1 e x = 3;D
Quais são as raízes da equação x² - 11x + 30 = 0?;x = -8 e x = -1;x = -8 e x = -5;x = 4 e x = 9;x = 5 e x = 6;D
Quais são as raízes da equação x² - 4x - 21 = 0?;x = -7 e x = -3;x = -6 e x = 2;x = -8 e x = 9;x = -3 e x = 7;D
Quais são as raízes da equação x² - 9x + 18 = 0?;x = -2 e x = 1;x = -7 e x = 1;x = 3 e x = 6;x = -6 e x = 7;C
Quais são as raízes da equação x² - 10x + 16 = 0?;x = 3 e x = 9;x = -5 e x = 8;x = -3 e x = 4;x = 2 e x = 8;D
Quais são as raízes da equação x² - 5x + 6 = 0?;x = 2 e x = 6;x = 1 e x = 2;x = -4 e x = 9;x = 2 e x = 3;D
Quais são as raízes da equação x² + 1x - 42 = 0?;x = 4 e x = 5;x = -7 e x = 6;x = 3 e x = 4;x = -5 e x = 1;B
Quais são as raízes da equação x² - 11x + 30 = 0?;x = 5 e x = 6;x = -2 e x = 9;x = 7 e x = 9;x = 1 e x = 7;A
Quais são as raízes da equação x² - 12x + 35 = 0?;x = -7 e x = -4;x = 5 e x = 7;x = -6 e x = -5;x = -5 e x = 4;B
Quais são as raízes da equação x² - 7x + 6 = 0?;x = -3 e x = -2;x = -1 e x = 0;x = 4 e x = 9;x = 1 e x = 6;D
Quais são as raízes da equação x² - 1x - 72 = 0?;x = 0 e x = 3;x = -2 e x = 6;x = -6 e x = 5;x = -8 e x = 9;D
Quais são as raízes da equação x² - 13x + 42 = 0?;x = 6 e x = 7;x = -1 e x = 6;x = -7 e x = 7;x = 1 e x = 7;A
Quais são as raízes da equação x² - 1x - 30 = 0?;x = -1 e x = 5;x = -5 e x = 6;x = 1 e x = 7;x = -7 e x = 2;B
Quais são as raízes da equação x² - 1x - 30 = 0?;x = -5 e x = -2;x = 3 e x = 5;x = -8 e x = 6;x = -5 e x = 6;D
Quais são as raízes da equação x² - 12x + 32 = 0?;x = -1 e x = 1;x = 4 e x = 8;x = -6 e x = -5;x = 5 e x = 7;B
Quais são as raízes da equação x² - 4x - 5 = 0?;x = -4 e x = 7;x = -3 e x = 5;x = -8 e x = -7;x = -1 e x = 5;D
Quais são as raízes da equação x² - 9x + 20 = 0?;x = -4 e x = 3;x = 4 e x = 5;x = -4 e x = 4;x = -8 e x = 5;B
Quais são as raízes da equação x² - 16x + 63 = 0?;x = -1 e x = 1;x = -7 e x = 0;x = -8 e x = 1;x = 7 e x = 9;D
Quais são as raízes da equação x² - 8x + 12 = 0?;x = 2 e x = 6;x = -3 e x = 7;x = -2 e x = 8;x = -1 e x = 7;A
Quais são as raízes da equação x² - 2x - 8 = 0?;x = -2 e x = 9;x = -6 e x = -2;x = -8 e x = -4;x = -2 e x = 4;D
Quais são as raízes da equação x² - 7x - 18 = 0?;x = -2 e x = 9;x = -7 e x = 3;x = 0 e x = 6;x = 1 e x = 4;A
Quais são as raízes da equação x² + 1x - 42 = 0?;x = -7 e x = 7;x = 6 e x = 9;x = -4 e x = 4;x = -7 e x = 6;D
Quais são as raízes da equação x² - 13x + 36 = 0?;x = -8 e x = -1;x = -1 e x = 0;x = 4 e x = 9;x = -6 e x = 3;C
Quais são as raízes da equação x² - 7x + 10 = 0?;x = 2 e x = 5;x = -2 e x = -1;x = -2 e x = 1;x = -6 e x = 1;A
Quais são as raízes da equação x² + 1x - 30 = 0?;x = -5 e x = 5;x = 2 e x = 7;x = -7 e x = -5;x = -6 e x = 5;D
Quais são as raízes da equação x² + 3x - 40 = 0?;x = -8 e x = 5;x = -1 e x = 1;x = -6 e x = 6;x = 2 e x = 8;A
Quais são as raízes da equação x² - 6x - 7 = 0?;x = 2 e x = 7;x = -4 e x = 4;x = -3 e x = 8;x = -1 e x = 7;D
Quais são as raízes da equação x² - 12x + 35 = 0?;x = -2 e x = 9;x = 6 e x = 7;x = 5 e x = 7;x = -2 e x = 2;C
Quais são as raízes da equação x² + 1x - 20 = 0?;x = -5 e x = 4;x = -6 e x = 1;x = -5 e x = -1;x = 3 e x = 9;A
Quais são as raízes da equação x² - 8x + 7 = 0?;x = -1 e x = 5;x = -2 e x = 5;x = 1 e x = 7;x = -4 e x = 5;C
Quais são as raízes da equação x² - 11x + 24 = 0?;x = 2 e x = 3;x = -5 e x = 8;x = 3 e x = 8;x = 0 e x = 3;C
Quais são as raízes da equação x² - 15x + 56 = 0?;x = -3 e x = 9;x = -1 e x = 8;x = 7 e x = 8;x = -5 e x = -1;C
Quais são as raízes da equação x² - 13x + 36 = 0?;x = -6 e x = 4;x = -6 e x = 3;x = 4 e x = 9;x = -8 e x = 0;C
Quais são as raízes da equação x² + 1x - 42 = 0?;x = 1 e x = 9;x = -7 e x = 6;x = -2 e x = 9;x = 7 e x = 9;B
Quais são as raízes da equação x² + 4x - 5 = 0?;x = 6 e x = 8;x = -8 e x = 6;x = -5 e x = 1;x = -1 e x = 3;C
Quais são as raízes da equação x² - 8x + 12 = 0?;x = -6 e x = -1;x = -8 e x = 7;x = 2 e x = 6;x = -2 e x = -1;C
Quais são as raízes da equação x² - 6x + 8 = 0?;x = 7 e x = 9;x = -2 e x = 3;x = 0 e x = 1;x = 2 e x = 4;D
Quais são as raízes da equação x² - 5x + 6 = 0?;x = 2 e x = 3;x = 3 e x = 6;x = -2 e x = 1;x = -2 e x = 7;A
Quais são as raízes da equação x² + 5x - 14 = 0?;x = 2 e x = 6;x = -5 e x = 1;x = -3 e x = -1;x = -7 e x = 2;D
Quais são as raízes da equação x² - 7x + 12 = 0?;x = 4 e x = 8;x = -8 e x = 9;x = 3 e x = 4;x = -6 e x = -3;C
Quais são as raízes da equação x² - 16x + 63 = 0?;x = 7 e x = 9;x = -8 e x = 0;x = -6 e x = 0;x = 0 e x = 9;A
Quais são as raízes da equação x² - 4x - 5 = 0?;x = -2 e x = 8;x = -6 e x = -1;x = -1 e x = 5;x = 2 e x = 5;C
Quais são as raízes da equação x² - 11x + 28 = 0?;x = 2 e x = 5;x = 4 e x = 7;x = -5 e x = 2;x = -7 e x = -4;B
Quais são as raízes da equação x² + 1x - 12 = 0?;x = -8 e x = 1;x = -7 e x = 4;x = -2 e x = 0;x = -4 e x = 3;D
Quais são as raízes da equação x² - 1x - 12 = 0?;x = -3 e x = 4;x = -7 e x = 1;x = -1 e x = 1;x = -1 e x = 9;A
Quais são as raízes da equação x² + 2x - 15 = 0?;x = -4 e x = 8;x = -7 e x = 7;x = -1 e x = 6;x = -5 e x = 3;D
Quais são as raízes da equação x² - 10x + 24 = 0?;x = -2 e x = 7;x = -1 e x = 1;x = 4 e x = 6;x = -2 e x = 5;C
Quais são as raízes da equação x² + 3x - 4 = 0?;x = -3 e x = 9;x = -4 e x = 1;x = -2 e x = 0;x = -6 e x = 2;B
Quais são as raízes da equação x² - 11x + 28 = 0?;x = -2 e x = 2;x = 4 e x = 7;x = -7 e x = 7;x = 3 e x = 6;B
Quais são as raízes da equação x² - 15x + 56 = 0?;x = 7 e x = 8;x = 6 e x = 9;x = -7 e x = -1;x = -1 e x = 6;A
Quais são as raízes da equação x² + 2x - 3 = 0?;x = 3 e x = 8;x = 2 e x = 9;x = -3 e x = 1;x = 3 e x = 6;C
Quais são as raízes da equação x² - 49 = 0?;x = -1 e x = 1;x = -7 e x = 7;x = -6 e x = -5;x = -4 e x = 1;B
Quais são as raízes da equação x² - 3x - 4 = 0?;x = -1 e x = 5;x = -2 e x = 2;x = -1 e x = 4;x = -1 e x = 0;C
Quais são as raízes da equação x² - 25 = 0?;x = 6 e x = 7;x = 3 e x = 8;x = -5 e x = 5;x = -8 e x = 6;C
Quais são as raízes da equação x² - 2x - 24 = 0?;x = -7 e x = -5;x = -7 e x = 2;x = -7 e x = -2;x = -4 e x = 6;D
Quais são as raízes da equação x² - 36 = 0?;x = -8 e x = 6;x = -6 e x = 8;x = -4 e x = -2;x = -6 e x = 6;D
Quais são as raízes da equação x² - 15x + 54 = 0?;x = -4 e x = 7;x = 6 e x = 9;x = 7 e x = 8;x = -2 e x = 6;B
Quais são as raízes da equação x² + 6x - 7 = 0?;x = -7 e x = 1;x = 1 e x = 9;x = 0 e x = 5;x = -6 e x = 6;A
Quais são as raízes da equação x² - 7x + 10 = 0?;x = -7 e x = 0;x = -8 e x = -4;x = -4 e x = -3;x = 2 e x = 5;D
Quais são as raízes da equação x² - 17x + 72 = 0?;x = -4 e x = 8;x = 8 e x = 9;x = -2 e x = -1;x = 5 e x = 6;B
Quais são as raízes da equação x² + 1x - 12 = 0?;x = -4 e x = 3;x = -2 e x = 3;x = -1 e x = 8;x = -5 e x = 5;A
Quais são as raízes da equação x² - 10x + 9 = 0?;x = -4 e x = 1;x = 2 e x = 4;x = 1 e x = 9;x = 1 e x = 8;C
Quais são as raízes da equação x² - 12x + 35 = 0?;x = -7 e x = -3;x = -7 e x = 6;x = 5 e x = 7;x = -8 e x = -3;C
Quais são as raízes da equação x² + 6x - 16 = 0?;x = -4 e x = 4;x = -8 e x = 2;x = 2 e x = 4;x = 3 e x = 5;B
Quais são as raízes da equação x² - 4 = 0?;x = -5 e x = -1;x = -2 e x = 2;x = -1 e x = 2;x = -3 e x = 3;B
Quais são as raízes da equação x² - 11x + 30 = 0?;x = -4 e x = 7;x = -6 e x = 7;x = 5 e x = 6;x = -5 e x = 6;C
Quais são as raízes da equação x² + 2x - 3 = 0?;x = -8 e x = 6;x = -3 e x = 1;x = -5 e x = 8;x = -7 e x = 3;B
Quais são as raízes da equação x² - 3x - 4 = 0?;x = -1 e x = 6;x = -1 e x = 4;x = -8 e x = 9;x = -4 e x = 5;B
Quais são as raízes da equação x² - 3x - 4 = 0?;x = -7 e x = 9;x = -3 e x = -1;x = -1 e x = 4;x = -7 e x = 4;C
Quais são as raízes da equação x² - 3x - 54 = 0?;x = 0 e x = 2;x = -2 e x = 2;x = 0 e x = 3;x = -6 e x = 9;D
Quais são as raízes da equação x² - 11x + 18 = 0?;x = 2 e x = 9;x = -7 e x = -4;x = -4 e x = 3;x = 5 e x = 6;A
Quais são as raízes da equação x² - 9x + 8 = 0?;x = -8 e x = -1;x = -5 e x = 6;x = -6 e x = -5;x = 1 e x = 8;D
Quais são as raízes da equação x² - 16x + 63 = 0?;x = 7 e x = 9;x = -8 e x = 2;x = -8 e x = 1;x = 2 e x = 7;A
Quais são as raízes da equação x² - 15x + 54 = 0?;x = -7 e x = 7;x = -6 e x = 1;x = -1 e x = 8;x = 6 e x = 9;D
Quais são as raízes da equação x² - 3x - 4 = 0?;x = 4 e x = 7;x = -4 e x = 0;x = -5 e x = -2;x = -1 e x = 4;D
Quais são as raízes da equação x² - 9x + 18 = 0?;x = -3 e x = -1;x = -5 e x = -3;x = 3 e x = 6;x = 1 e x = 5;C
Quais são as raízes da equação x² + 3x - 4 = 0?;x = -8 e x = 8;x = -4 e x = 1;x = -4 e x = 8;x = -8 e x = 0;B
Quais são as raízes da equação x² - 10x + 24 = 0?;x = -3 e x = 2;x = 4 e x = 6;x = 1 e x = 3;x = 0 e x = 6;B
Quais são as raízes da equação x² - 3x - 40 = 0?;x = -5 e x = 8;x = -6 e x = -5;x = 1 e x = 2;x = -8 e x = 0;A
